조 번호,조항 번호,조(키워드),요약 내용,통합 내용
제1조,제1조,제1조(목적),"헌법에 따라 근로자의 기본적 생활을 보장하고 향상시킬 목적으로 근로조건의 기준을 정하며, 사용자는 이를 반드시 준수해야 한다.","제1조(목적) 헌법에 따라 근로자의 기본적 생활을 보장하고 향상시킬 목적으로 근로조건의 기준을 정하며, 사용자는 이를 반드시 준수해야 한다."
제2조,제2조 1항 1호,제2조(근로자),"직업 종류와 관계없이 임금을 목적으로 근로를 제공하는 자를 말하며, 계약 형식보다 실질적 근로 제공 여부를 중시해야 한다.","제2조(근로자) 직업 종류와 관계없이 임금을 목적으로 근로를 제공하는 자를 말하며, 계약 형식보다 실질적 근로 제공 여부를 중시해야 한다."
제2조,제2조 1항 2호,제2조(사용자),사업주나 경영 담당자 등 근로자에 관한 사항에 대해 사업주를 위해 행위하는 자는 사용자로서의 법적 책임을 회피할 수 없다.,제2조(사용자) 사업주나 경영 담당자 등 근로자에 관한 사항에 대해 사업주를 위해 행위하는 자는 사용자로서의 법적 책임을 회피할 수 없다.
제2조,제2조 1항 3호,제2조(근로),"근로란 정신노동과 육체노동을 모두 포함하며, 사용자는 어떤 형태의 노동에 대해서도 이 법에 따른 보호 의무를 다해야 한다.","제2조(근로) 근로란 정신노동과 육체노동을 모두 포함하며, 사용자는 어떤 형태의 노동에 대해서도 이 법에 따른 보호 의무를 다해야 한다."
제2조,제2조 1항 4호,제2조(근로계약),"근로 제공과 임금 지급을 목적으로 하는 계약으로, 사용자는 일방적인 봉사나 무상 노동을 강요하는 계약을 체결할 수 없다.","제2조(근로계약) 근로 제공과 임금 지급을 목적으로 하는 계약으로, 사용자는 일방적인 봉사나 무상 노동을 강요하는 계약을 체결할 수 없다."
제2조,제2조 1항 5호,제2조(임금),"사용자가 근로의 대가로 지급하는 모든 금품을 말하며, 명칭과 관계없이 임금으로서의 성격을 임의로 부정하거나 지급을 거부 못 한다.","제2조(임금) 사용자가 근로의 대가로 지급하는 모든 금품을 말하며, 명칭과 관계없이 임금으로서의 성격을 임의로 부정하거나 지급을 거부 못 한다."
제2조,제2조 1항 6호,제2조(평균임금),"사유 발생 전 3개월간 지급된 임금 총액을 총 일수로 나눈 금액이며, 법정 수당 산정 시 이 기준을 임의로 낮게 책정할 수 없다.","제2조(평균임금) 사유 발생 전 3개월간 지급된 임금 총액을 총 일수로 나눈 금액이며, 법정 수당 산정 시 이 기준을 임의로 낮게 책정할 수 없다."
제2조,제2조 1항 7호,제2조(1주),"1주란 휴일을 포함한 7일을 말하며, 사용자는 주말이나 휴일 근로를 근로시간 산정에서 임의로 제외하거나 누락해서는 안 된다.","제2조(1주) 1주란 휴일을 포함한 7일을 말하며, 사용자는 주말이나 휴일 근로를 근로시간 산정에서 임의로 제외하거나 누락해서는 안 된다."
제2조,제2조 1항 8호,제2조(소정근로시간),"법정 범위 내에서 근로자와 사용자가 합의한 근로시간을 말하며, 사용자는 이를 초과하는 근로를 합의 없이 강요할 수 없다.","제2조(소정근로시간) 법정 범위 내에서 근로자와 사용자가 합의한 근로시간을 말하며, 사용자는 이를 초과하는 근로를 합의 없이 강요할 수 없다."
제2조,제2조 1항 9호,제2조(단시간근로자),"1주 소정근로시간이 통상 근로자보다 짧은 자를 말하며, 사용자는 이들에 대해 합리적 이유 없는 차별적 처우를 할 수 없다.","제2조(단시간근로자) 1주 소정근로시간이 통상 근로자보다 짧은 자를 말하며, 사용자는 이들에 대해 합리적 이유 없는 차별적 처우를 할 수 없다."
제2조,제2조 2항,제2조(하한 설정),산출된 평균임금이 통상임금보다 적으면 반드시 통상임금을 평균임금으로 적용하여 지급해야 할 의무가 있다.,제2조(하한 설정) 산출된 평균임금이 통상임금보다 적으면 반드시 통상임금을 평균임금으로 적용하여 지급해야 할 의무가 있다.
제3조,제3조,제3조(기준 최저성),"이 법의 근로조건은 최저기준이므로, 사용자는 이 법을 핑계로 기존의 근로조건을 종전보다 낮게 변경할 수 없다.","제3조(기준 최저성) 이 법의 근로조건은 최저기준이므로, 사용자는 이 법을 핑계로 기존의 근로조건을 종전보다 낮게 변경할 수 없다."
제4조,제4조,제4조(자유 결정),"근로조건은 근로자와 사용자가 대등한 지위에서 결정해야 하며, 사용자는 우월적 지위를 이용하여 조건을 강요해서는 안 된다.","제4조(자유 결정) 근로조건은 근로자와 사용자가 대등한 지위에서 결정해야 하며, 사용자는 우월적 지위를 이용하여 조건을 강요해서는 안 된다."
제5조,제5조,제5조(준수 의무),"사용자는 단체협약, 취업규칙, 근로계약을 성실히 이행해야 하며, 계약된 내용을 일방적으로 파기하거나 어길 수 없다.","제5조(준수 의무) 사용자는 단체협약, 취업규칙, 근로계약을 성실히 이행해야 하며, 계약된 내용을 일방적으로 파기하거나 어길 수 없다."
제6조,제6조,제6조(균등 처우),"성별, 국적, 신앙, 신분을 이유로 근로조건에 대한 차별적 대우를 금지하며, 사용자는 모든 근로자를 평등하게 처우해야 한다.","제6조(균등 처우) 성별, 국적, 신앙, 신분을 이유로 근로조건에 대한 차별적 대우를 금지하며, 사용자는 모든 근로자를 평등하게 처우해야 한다."
제7조,제7조,제7조(강제근로 금지),"폭행, 협박, 감금 등 자유를 구속하는 수단으로 근로자의 의사에 반하는 근로를 강요하는 행위를 엄격히 금지한다.","제7조(강제근로 금지) 폭행, 협박, 감금 등 자유를 구속하는 수단으로 근로자의 의사에 반하는 근로를 강요하는 행위를 엄격히 금지한다."
